Cohort,Program Name,URL,Faculty,Note (Reused From)
K19,Cử nhân ngành Thương mại Điện tử (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-thuong-mai-dien-tu-ap-dung-tu-khoa-19-2024,E-Com,K19
K19,Chương trình đào tạo Song ngành ngành Thương mại điện tử (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/chuong-trinh-dao-tao-song-nganh-nganh-thuong-mai-dien-tu-ap-dung-tu-khoa-19-2024,E-Com,K19
K19,Cử nhân ngành Khoa học Dữ liệu (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-khoa-hoc-nganh-khoa-hoc-du-lieu-ap-dung-tu-khoa-19-2024,DS,K19
K19,Chương trình tiên tiến ngành Hệ thống Thông tin (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/chuong-trinh-tien-tien-nganh-he-thong-thong-tin-ap-dung-tu-khoa-18-2023,IS,K18
K19,Cử nhân ngành Khoa học Máy tính (Birmingham City),https://student.uit.edu.vn/content/cu-nhan-nganh-khoa-hoc-may-tinh-chuong-trinh-lien-ket-voi-dh-birmingham-city-ap-dung-tu-0,CS,K18
K19,Cử nhân ngành Mạng máy tính và An toàn thông tin (Birmingham City),https://student.uit.edu.vn/content/cu-nhan-nganh-mang-may-tinh-va-toan-thong-tin-chuong-trinh-lien-ket-voi-dh-birmingham-city-1,NC,K18
K20,Cử nhân ngành Kỹ thuật Phần mềm (Áp dụng từ khóa 20 - 2025),https://student.uit.edu.vn/content/cu-nhan-nganh-ky-thuat-phan-mem-ap-dung-tu-khoa-20-2025,SE,K20
K20,Cử nhân ngành Truyền thông Đa phương tiện (Áp dụng từ khóa 20 - 2025),https://student.uit.edu.vn/content/cu-nhan-nganh-truyen-thong-da-phuong-tien-ap-dung-tu-khoa-20-2025,MM,K20
K20,Cử nhân ngành Mạng máy tính và An toàn thông tin (Birmingham City),https://student.uit.edu.vn/content/cu-nhan-nganh-mang-may-tinh-va-toan-thong-tin-chuong-trinh-lien-ket-voi-dh-birmingham-city-2,NC,K20
K20,Cử nhân ngành Khoa học Máy tính (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-19-2024,CS,K19
K20,Chương trình tài năng ngành Khoa học Máy tính (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-khoa-hoc-may-tinh-ap-dung-tu-khoa-19-2024,CS,K19
K20,Cử nhân ngành Công nghệ Thông tin (Áp dụng từ Khoá 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-19-2024,IT,K19
K20,Cử nhân ngành Công nghệ Thông tin (Việt - Nhật) (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/cu-nhan-nganh-cong-nghe-thong-tin-ap-dung-tu-khoa-18-2023,IT,K18
K20,Cử nhân ngành Trí tuệ Nhân tạo (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-tri-tue-nhan-tao-ap-dung-tu-khoa-19-2024,AI,K19
K20,Cử nhân ngành Hệ thống Thông tin (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-he-thong-thong-tin-ap-dung-tu-khoa-19-2024,IS,K19
K20,Cử nhân ngành Kỹ thuật Máy tính (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-ky-thuat-may-tinh-ap-dung-tu-khoa-19-2024,CE,K19
K20,Cử nhân ngành Thiết kế Vi mạch (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-thiet-ke-vi-mach-ap-dung-tu-khoa-19-2024,IC,K19
K20,Cử nhân ngành Mạng máy tính và Truyền thông dữ liệu (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-mang-may-tinh-va-truyen-thong-du-lieu-ap-dung-tu-khoa-19-2024,NC,K19
K20,Cử nhân ngành An toàn Thông tin (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-toan-thong-tin-ap-dung-tu-khoa-19-2024,Security,K19
K20,Chương trình tài năng ngành An toàn Thông tin (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-toan-thong-tin-ap-dung-tu-khoa-19-2024,Security,K19
K20,Cử nhân ngành Thương mại Điện tử (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-nganh-thuong-mai-dien-tu-ap-dung-tu-khoa-19-2024,E-Com,K19
K20,Cử nhân ngành Khoa học Dữ liệu (Áp dụng từ khóa 19 - 2024),https://student.uit.edu.vn/content/cu-nhan-khoa-hoc-nganh-khoa-hoc-du-lieu-ap-dung-tu-khoa-19-2024,DS,K19
K20,Chương trình tiên tiến ngành Hệ thống Thông tin (Áp dụng từ khóa 18 - 2023),https://student.uit.edu.vn/content/chuong-trinh-tien-tien-nganh-he-thong-thong-tin-ap-dung-tu-khoa-18-2023,IS,K18
K20,Cử nhân ngành Khoa học Máy tính (Birmingham City),https://student.uit.edu.vn/content/cu-nhan-nganh-khoa-hoc-may-tinh-chuong-trinh-lien-ket-voi-dh-birmingham-city-ap-dung-tu-0,CS,K18
